,Content
10,"Olympic-bound javelin thrower Shivpal Singh will watch from the stands the National Senior Federation Cup athletics meet starting on March 15 at Patiala as he is on the injured list. According to sources, the 25-year-old thrower from Uttar Pradesh has sprained his ankle. “Since he is an Olympic hopeful it’s better to take a short break now,” said a national level coach, justifying the break. Singh couldn’t be contacted as he didn’t respond to text messages and calls.Recently, in the third leg of the Indian Grand Prix athletics in Patiala, Singh had finished second with a throw of 81.63m while 2018 Asian Games champion Neeraj Chopra came first with a national record of 88.07m."
11,"Myanmar’s military is likely committing “crimes against humanity”, the UN’s top expert on rights in the Asian country said Thursday, adding that at least 70 people had reportedly been “murdered” since the February 1 coup.Thomas Andrews told the UN Human Rights Council in Geneva that Myanmar was currently being “controlled by a murderous, illegal regime”."
12,"The Nepal government has banned expedition teams on the Mt Everest climb from taking photographs and videos of persons outside their group. Nepal is the world’s biggest mountaineering hotspot, with the Himalayan nation hosting eight of the world’s highest mountains, including Everest, Kanchenjunga, Lhotse and Makalu.In a circular issued on Wednesday, the Department of Tourism said: “Capturing photographs and filming videos of people from other expedition teams and publishing of those materials will not be allowed.” However, the statement said that climbers can take photos, videos of people from their own group. The government directive comes as authorities have been severely criticised for a viral photograph on social media."
13,"Days after Centre notified new rules and guidelines for OTT platforms and digital news media, Information and Broadcasting Minister Prakash Javadekar on Thursday said that the guidelines would bring online platforms on par with traditional media like newspapers and new channels. He added that the digital news publishers would also be required to furnish some basic information to the ministry “in a simple form”, which is being finalised.The Centre on February 25 had notified new rules and guidelines for OTT platforms and digital news media, requiring them to make public their details and having a grievance redressal system in place. Javadekar made the statement during an online interaction with the representatives of Digital News Publishers Association (DNPA)."
14,"Meghan Markle and Prince Harry’s exclusive interview with Oprah Winfrey has rattled the entire world including the Royal family. While the details of the interview revealed the Royals’ constant endorsement of racism and colorism that even highlighted the concerns regarding the skin colour of baby Archie. Now coming to the rescue of the family, Prince William on Thursday defended the British royal family after his younger brother Harry and wife Meghan accused them of racism in a bombshell interview watched around the world. “We’re very much not a racist family,” William told reporters during a visit to a multi-racial school in a deprived area of east London."
15,"Popular television stars Arjun Bijlani and Hina Khan have been close friends for many years now. The duo recently met at Hina’s Kasautii Zindagii Kay co-star Parth Samthaan’s birthday party and expressed their love an adoration for each other. In a video shared by Arjun on Instagram, Hina can be seen giving Arjun a hug. Arjun then says, “I love you Hina,” to which she replies, “I love you too Arjun.” Hina then given Arjun a cute kiss on his cheeks. Arjun captioned the video with a heart emoji. "
16,"Pakistan’s lone skeet shooter Usman Chand has got a visa to travel to India and will, after all, compete in the New Delhi World Cup this month, Razi Ahmed Khan, secretary general of the National Rifle Association of Pakistan (NRAP), said on Thursday. “We received the visa from the Indian High Commission in Islamabad on Thursday. It’s good that Chand will get a chance to compete with the top shooters from across the globe. We hope he is able to shoot a good score in India,” Khan told IANS from Lahore.IANS had reported on March 5 that Chand had applied for a visa to travel to India for the World Cup."
17,"A total of 44 students residing in a hostel in MIDC area near Maharashtra’s Latur city tested COVID-19 positive on Thursday, a health department official said. Last month, 47 other students from the same hostel were found infected, he said.The hostel is located near an English-medium school on the outskirts of the city. This hostel provides accommodation to students between Class 8 and 10, the official said. ”After testing positive, these students were moved to a local quarantine centre, where they are being treated,” he said."
18,"Puducherry Lt Governor Tamilisai Soundararajan accorded her approval on Thursday to a proposal to declare as 'all pass' this academic year, students of classes 1 to 9 in the Union Territory. A release from Raj Nivas (office of Lt Governor) said the Lt Governor has approved the proposal of the School Education department to declare as 'all pass' students of grade 1 to 9 in all the four regions of the Union Territory.Students of Classes 10 and 11 in Puducherry and Karaikal regions (adopting Tamil Nadu pattern of curriculum) would be granted 'all pass' as per guidelines of Tamil Nadu State Board of Education. Similarly, students of classes 10 and 11 in Mahe and Yanam regions would be promoted as per the guidelines of the Boards of Education in Kerala and Andhra Pradesh respectively, it said.All schools would function till March 31 for classes 1 to 9 for five days a week and would observe Saturdays and Sundays as holidays. Summer vacation would commence for the schools on April 1.Classes for Standards 10, 11 and 12 would be conducted as per the schedule of examinations of the respective State Boards of Education. According to the release, the Lt Governor gave approval for allocation of Rs 29.65 crores to disburse monthly assistance to beneficiaries of Old Age pension and destitute. 

RELATED NEWS






With a Push From Rahul Gandhi, DMK, Congress Form Seat-sharing Pact For Puducherry Assembly Polls






Tamil Nadu Elections 2021: After Stalin, EPS Promises Cash Aid for Women Family Heads

 
As many as 1.54 lakh persons are benefitted under this scheme. She has also given her nod to a proposal to declare closure of all arrack, toddy shops, clubs, bars and restaurants serving liquor in the Union Territory from April 4 to 6 in view of election to the territorial assembly slated for April 6.These shops would also remain closed on May 2 and 3 on account of counting of votes, the release stated.setTimeout(() => {
                            let playerscriptCounter = 0;

                            window.addEventListener('scroll', () => {
                                let pageYOffset = window.pageYOffset;
                            
                                if(pageYOffset > 80 && playerscriptCounter == 0) {
                                    let playerscript = document.createElement('script'); 
                                    playerscript.src =  ""//images.news18.com/static_news18/pix/ibnhome/news18/js/custom-js/pubstack-player/news18-gujrati/prod-player-react.js""; 
                                    playerscript.defer =  true;
                                    document.body.appendChild(playerscript);
                            
                                    playerscriptCounter++
                                }
                            });
                        }, 3000)Students of Classes 10 and 11 in Puducherry and Karaikal regions (adopting Tamil Nadu pattern of curriculum) would be granted 'all pass' as per guidelines of Tamil Nadu State Board of Education. Similarly, students of classes 10 and 11 in Mahe and Yanam regions would be promoted as per the guidelines of the Boards of Education in Kerala and Andhra Pradesh respectively, it said."
19,"A day after taking oath as the new chief minister of Uttarakhand, Tirath Singh Rawat on Thursday met his political mentor and state's former CM, Gen (Retd) BC Khanduri and sought his blessings. After the meeting, Rawat said Khanduri has been his idol and like a father. The General sir' is like my father. I have learnt a lot from him in politics, said Rawat.The new chief minister said he has reached this stage only due to what he learnt from Khanduri and imbibed his ideals. Khanduri, however, interrupted him, saying imbibing ideals is fine but he has got a lot of flak from him.To this, the new chief minister replied, I indeed have often been rapped but one gets rebuked only by a person who considers you one of his own. Kids often get chided. Expressing happiness over Rawat becoming the chief minister, Khanduri described the new CM as a dedicated worker and himself ""lucky"" that he got in touch with good people like Tirath Singh Rawat after joining politics from the Army. When I initially got into politics, I had to follow Tirath because everyone knew him and nobody knew me,"" he said.Asked about Tirath Singh Rawat becoming the new state CM and its impact on the 2022 assembly elections, Khanduri said the BJP has its own character and leadership and expressed confidence that the result would be good. Tirath Singh is a worthy person. Look at his background also, he has been working for the organisation since childhood. There is no stain or accusation against him. People also like such leadership. I believe the result will be good, said the former chief minister. 

RELATED NEWS






Uttarakhand CM Tirath Singh Rawat May Expand Cabinet Tomorrow: State BJP Chief






How U'khand's New CM Tirath Singh Rawat Celebrated Mahashivratri at Haridwar Kumbh

 
 .setTimeout(() => {
                            let playerscriptCounter = 0;

                            window.addEventListener('scroll', () => {
                                let pageYOffset = window.pageYOffset;
                            
                                if(pageYOffset > 80 && playerscriptCounter == 0) {
                                    let playerscript = document.createElement('script'); 
                                    playerscript.src =  ""//images.news18.com/static_news18/pix/ibnhome/news18/js/custom-js/pubstack-player/news18-gujrati/prod-player-react.js""; 
                                    playerscript.defer =  true;
                                    document.body.appendChild(playerscript);
                            
                                    playerscriptCounter++
                                }
                            });
                        }, 3000)The new chief minister said he has reached this stage only due to what he learnt from Khanduri and imbibed his ideals. Khanduri, however, interrupted him, saying imbibing ideals is fine but he has got a lot of flak from him."
20,"Inter Milan’s Chilean international midfielder Arturo Vidal is set to undergo surgery for a left knee problem, the Serie A leaders announced on Thursday. “Arturo Vidal will undergo surgery tomorrow (Friday) for meniscal pain in his left knee,” Inter Milan said in a brief statement. The 33-year-old former Barcelona, Juventus, Bayern Munich and Bayer Leverkusen player could be sidelined for up to a month, according to Italian media reports.Vidal, who has scored two goals in 30 games since moving to Inter from Barcelona last summer, looks set to miss their next three league games against Torino, Sassuolo and Bologna before the international break."
21,"The DMK and the Indian National Congress on Thursday signed an agreement to form an alliance for the Puducherry Assembly elections. According to the deal, the Congress will contest from 15 seats and the DMK from 13. The remaining two constituencies would go to smaller allies.The DMK had been internally debating going it alone in Puducherry. In an exclusive interview to CNN-News18, DMK leader MK Stalin had said the prevailing sentiment among the DMK was to face the elections alone. In fact, the Puducherry election in-charge for DMK had made a vow to work hard to enable the victory of his party in all seats."
22,"As if performing surgery on a human being was not a daunting enough task, veterinarians in England have managed to perform quite a big leg surgery on a tiny hamster.According to The Mirror, Suki, a Roborovski hamster, was brought to the Veterinary Health Centre in St. Annes, Lancashire in the United Kingdom after his owner observed that the usually energetic little hamster was dragging his leg. After examining the hamster, the 23-year-old owner Guilherme Gouveia, from Preston, was told that Suki had broken a tibia and to restore her energetic sprints, surgery would be needed."
23,"With several recipients of vaccines against the coronavirus complaining of side-effects post the shots, concerns are being raised about its impact on citizens. Vaccine beneficiaries have mostly complained of fever and fatigue. While for most, the issues fade after a day or two, some are facing trouble for longer hours.According to a report in Bloomberg, typical symptoms include a sore arm, usually localised to the area the inoculation was given, and systemic symptoms, such as a mild fever or elevated temperature, headache and muscle aches. Studies have found younger adults reporting such reactions more frequently than elderly people (above 65 years). "
24,"Adoption continues to be a big taboo across the world. Many people till date are not very comfortable with the idea and the concept of it. In such times, a couple based out of Canada has proved to be an inspiration and a ray of hope. Charlette and Dan Fontaine announced the adoption of their 12-year-old daughter with an adorable Harry Potter-themed gender reveal party. The video of the adorable occasion is unsurprisingly winning netizens’ hearts.In the video, one can see the happy family of three wearing Potter-themed round-neck black t-shirts. The mother’s t-shirt reads, “She’s a catch,” while the father’s t-shirt reads, “She’s a keepe”. However, the most adorable t-shirt is worn by Bianca (the daughter) on which one can see “the chosen one” written. The joyous short clip begins with Charlette and Dan standing in front of a Hogwarts wallpaper backdrop. The room is also decorated with balloons and has a banner that reads ‘Adoption Day’. The banner is also Potter-themed as one can spot the Hogwarts logo and Harry’s specs and scar on it."
25,"Lalliansanga’s 46th-minute strike helped Aizawl FC to beat Neroca FC 1-0 at the Kishore Bharati Krirangan in Kolkata on Thursday. With the victory, Yan Law’s side have now accumulated 18 points from 11 games, and become the first team from Group B to confirm their security from relegation at the end of the season. Gift Raikhan made three changes from their humbling defeat against the Indian Arrows, bringing in Jiteshwor Singh, Romton Singh and Olen Singh into the starting 11. Aizawl also started with three changes in personnel from their 3-0 victory against Chennai City as Yan Law started Lalchungnunga, Lalmawizuala and Ramhlunchhunga.The first chance of the game fell to Aizawl in the 7th minute as Bishorjit Singh was forced to be quick off his line to clear the danger from a free-kick. On the other end, Neroca threatened the Aizawl goal in the 9th minute when Jude Garcia met Subash Singam’s cutback and forced a save from Lalmuansanga."
26,"December 25, 2020. Dharavi, Asia’s largest slum, did not record any Covid-19 case that day. It was a first since March 31. The downward trend was continuing for some time with even the World Health Organization (WHO) praising the way the pandemic was combated in the slum cluster with 650,000 residents.Cut to March 10, 2021. In the first 10 days of the month, the area has already seen 104 fresh infections. The uptick is evident from the 157 cases recorded in February, compared with 119 in December and 117 in January."
27,"The woman who found Lady Gaga’s kidnapped two French bulldogs has not been paid yet because cops have not yet cleared her of involvement in the crime. The Los Angeles Police Department advised the singer not to give the cash reward of $500,000 she offered until the cops determined that the finder had nothing to do with the dog-napping.As per TMZ, the incident of dog theft and shooting of Lady Gaga’s dog walker, Ryan Fischer could be part of a gang initiation."
28,"Reality TV star Kim Kardashian and rapper Kanye West apparently started maintaining distance from long before their divorce proceedings started. However, this has never affected the fact that they trust each other with the children.“Even before Kim filed for divorce, Kanye changed his numbers and said, ‘you can contact me through my security’,” a source told Page Six."
29,"Tottenham Hotspur will take on Dinamo Zagreb in the first leg of their Europa League round of 16 tie at home before their crucial tie in the Premier League. Jose Mourinho’s side have finally found some form in the recent past and will come into this match after their 4-1 result against Crystal Palace at the weekend.Dinamo, on the other hand, won their match against Krasnodar in the round of 32. After this win, they then gave a glimpse of their form as they won 1-0 at home to advance through to the next round."
30,"Tottenham Hotspur have been struggling in Premier League, but they have been excellent in the UEFA Europa League as they take on Dinamo Zagreb on Thursday. Spurs will come into this match as they have won five of their last six competitive matches ever since they were defeated 3-0 by league leaders Manchester City almost a month ago.Jose Mourinho’s side come into this match after they recorded an emphatic 8-1 aggregate win over Wolfsberger AC in the Round of 32."
31,"With the rising Covid infections in Maharashtra, the state government has stepped up the vaccination drive and allowed vaccination centres in the state to operate round-the-clock if they have adequate staff.Mumbai has allowed private hospitals to operate beyond working hours and has kept the daily vaccination target of 1 lakh."
32,"Delhi police at RK Puram are ensuring that the slum children in nearby areas are given an opportunity to read and write instead of straying to a path of crime. This Delhi Police Public Library provides space to children coming from the economically weaker sections of society. The Station House Officer (SHO) Rajesh Sharma has transformed this place and stacked it with magazines, newspapers, books and whatnot for the street children. "
33,"Arsenal will be taking on Olympiacos when they kick off their Europa League last-16 tie against the side at the Georgios Karaiskakis Stadium. Olympiacos come into this match after the teamknocked out PSV 5-4 on aggregate to advance to the next stage. Arsenal, on the other hand, staged a remarkable comeback to knock Benfica out in the last 32.Olympiacos have been in brilliant form in their domestic league and they are comfortably top of the Greek league at the moment. They are currently holding a 16-point advantage over second-placed side Aris Thessaloniki FC. However, they will be without centre-backs Ruben Semedo and Avraam Papadopoulos as they are both out injured."
34,"Arsenal managed a dramatic win against Benfica in the round of 32 and now, they will take on Olympiacos this week in Round 16. It needs to be mentioned here that Olympiacos knocked out Arsenal in the round of 32 last season.Arsenal will enter this match after they beat Benfica 4-3 across the two legs. Olympiacos, on the other hand, come into this match after a dramatic win in the round of 32 as they knocked out PSV Eindhoven."
35,"The portals of Kedarnath Temple will be reopened for devotees on May 17, a spokesperson of the Uttarakhand Char Dham Devasthanam Management Board said on Thursday. The idol of Lord Shiva will be moved out of its winter abode at Ukhimath's Omkareshwar temple on May 14. The famous temple will reopen for devotees at 5 am on May 17.The temple was closed on November 16 last year. Badrinath Temple, which was closed on November 19, will reopen to devotees on May 18, the spokesperson said.Gangotri and Yamunotri temples will reopen on May 14. The Char Dham Yatra will begin this year after the reopening of the four temples.The portals of the four famous Himalayan shrines — Kedarnath, Badrinath, Gangotri and Yamunotri — are opened every year between April and May after a six-month closure during which they remain snowbound. 

RELATED NEWS






Closed for Winters, Badrinath to Reopen for Devotees on May 18






Relief for Uttarakhand Govt as HC Dismisses Plea Challenging Devsthanam Act

 
setTimeout(() => {
                            let playerscriptCounter = 0;

                            window.addEventListener('scroll', () => {
                                let pageYOffset = window.pageYOffset;
                            
                                if(pageYOffset > 80 && playerscriptCounter == 0) {
                                    let playerscript = document.createElement('script'); 
                                    playerscript.src =  ""//images.news18.com/static_news18/pix/ibnhome/news18/js/custom-js/pubstack-player/news18-gujrati/prod-player-react.js""; 
                                    playerscript.defer =  true;
                                    document.body.appendChild(playerscript);
                            
                                    playerscriptCounter++
                                }
                            });
                        }, 3000)The temple was closed on November 16 last year. Badrinath Temple, which was closed on November 19, will reopen to devotees on May 18, the spokesperson said."
36,"Denmark, Norway and Iceland on Thursday temporarily suspended the use of AstraZeneca’s Covid-19 vaccine over concerns about patients developing post-jab blood clots, as the manufacturer and Europe’s medicines watchdog insisted the vaccine was safe.Denmark was first to announce its suspension, “following reports of serious cases of blood clots” among people who had received the vaccine, the country’s Health Authority said in a statement."
37,"Owners of the Jawa 42’s older iterations are provided with a golden opportunity by Classic Legends as now they can upgrade their bike cosmetics to the latest 2.1 iterations. Under this offer, the customers will get blacked out bar-end mirrors, blacked-out alloy wheels and tubeless tires for only Rs 7,999. However, customers need to note that the offer is applicable only till March 31, 2021, after which the amount will increase to Rs 14,498. The company has reached a major landmark by registering 50,000 production units recently.Classic Legends decided to update its best-selling product to celebrate this achievement. The new Jawa42 comes with a price tag of Rs 1.84 (ex-showroom). The bike will be offered in three new additional colour options in 2021, including Matte Red, Matte Black and White. Apart from the new paint scheme, the latest iterations of retro-style classic motorcycles also have a bunch of cosmetic updates."
38,"Karnataka has seen a fresh uprising of some communities seeking better reservation, better caste-based benefits. The STs want an increase in their quota, the Panchamasali Lingayats want to be moved to a category that gets a larger quota, the Kurubas want to be listed as STs, the Vokkaligas want to collectively lobby for better everything. Significantly, these are all dominant castes — castes with populations of 12 to 15 per cent of the state’s population, translating into high numbers, high vote-swaying influence.Caught in this battle of the castes is chief minister BS Yediyurappa, who wants to please all but also knows that’s not entirely possible. On Wednesday, the Karnataka government then did the next best thing — it formed a committee headed by a retired judge, Justice Subhash B Adi, to consider the various demands of different communities. There is no time limit set for its functioning, but does this address the core issues?"
39,"A stunt performed by Bollywood actor Vicky Kaushal on horseback has not gone down well with a section of netizens, who feel he could have been kinder to the animal. Vicky shared a photo of his stunt on Instagram on Thursday.In the image, Vicky standing straight on a horse’s back, striking balance with both hands stretched. The actor claimed that he has recreated Anil Kapoor’s painting in the film Welcome, where Kapoor’s character Majnu bhai had painted a donkey standing on the back of a horse."
40,"Film producer Rhea Kapoor has shared a poignant message on her Instagram about body acceptance and positivity. Clad in an olive green bikini at an island in Maldives, Rhea looks nothing less than drop dead gorgeous. The producer in her caption has mentioned how she used to think that she was fat, but now has accepted her body. To make a point, she also quoted renowned American actress, comedian, writer, producer, and playwright Tina Fey.   View this post on Instagram"
41,"Ever heard of an artwork whose value increased after it complete destruction? Well, in the world of crypto, it seems anything is possible after a bunch of crypto enthusiasts and companies got together and burnt an artwork by Banksy, only to sell it off as a digital token for a much higher price. The artwork was transformed into an NFT which was auctioned off for $394,000. Proceeds from the auction are going to be donated to the NHS for working tirelessly through the coronavirus pandemic in the UK.What is an NFT?"
42,"Racing Team India, comprising India’s first Formula One driver Narain Karthikeyan, will be the first all-Indian line-up alongside Arjun Maini and Naveen Rao to compete in the prestigious Le Mans 24 Hours race in this year’s edition. The team has come a long way in India, where cricket rules the hearts and minds of the population.According to The Hindu report, the team will be led by Federation Internationale de l’Automobile (FIA) member Gautam Singhania with JK Tyres as one of the commercial partners going forward. However, Karthikeyan and Maini’s switch to endurance racing is a switch from Formula One, where offers have dried up. Whereas, it will be a second stint for Maini who had previously participated in the iconic race."
43,"The highly-anticipated comedy horror film Roohi has released in theatres and cinema halls across the country today, on March 11. The film features Janhvi Kapoor, Rajkummar Rao and Varun Sharma in pivotal roles. As per media reports, Varun’s former manager, Disha Salian has got mentioned in the end credits of the film. The celebrity manager died last year in June 2020. Disha has been credited as late Disha Salian, Varun’s manager in the credits in the end, according to a report by Bollywood Hungama.Disha was the manager of Varun and late actor Sushant Singh Rajput, who died days after her death in June 2020. She died after accidentally falling off from a Mumbai building. She was allegedly attending her fiancé’s house party with other friends. Post SSR’s demise, his house manager confirmed in multiple interviews that the actor was disturbed the way the media mentioned his name in news reports about Disha’s death. He mourned her death by penning a note on social media. “It’s such devastating news. My deepest condolences to Disha’s family and friends. May your soul rest in peace,” wrote Sushant on learning of Disha’s departure."
44,"Prime Minister Narendra Modi will flag off a padyatra from the Sabarmati ashram to Dandi on March 12 to launch the nation’s 75th year of Independence Day celebrations. He will also inaugurate a number of key initiatives and digital programmes running for 75 weeks leading up to August 15, 2022 to mark the occasion.The celebration, ‘Azadi Ka Amrut Mahotsav’, is a series of events to be organised by the Government of India to commemorate this landmark occasion with a lot of public participation."
45,"A year after the country’s first coronavirus death was reported in Karnataka’s Kalaburagi, the deceased’s family says it still hasn’t received a Covid-19 positive report or confirmation from authorities.On March 12 last year, state health minister B Sriramulu had announced the death of 76-year-old Qazi Muhammad Hussain. He had reportedly contracted the deadly virus in Saudi Arabia."
46,"Actor Himansh Kohli took his first shot of Covid vaccine on February 5 and the second recently. He confesses being apprehensive about the process initially.“I won’t deny that in the beginning I was hesitant. Such decisions take time. I don’t think one should hurry, too. So, I took my time and gained trust as I started reading about it. The virus is much worse, anyway. At least, the vaccine is providing us protection, so why not go for it?” he told IANS."
47,"Competitors at this year’s Tokyo Olympics and the 2022 Beijing Winter Games will be offered coronavirus vaccines bought from China, Olympic chief Thomas Bach announced Thursday in a significant move for the holding of the Covid-delayed Tokyo Games. The Chinese Olympic Committee have made “an offer to make additional vaccine doses available to participants for Tokyo 2020 and Beijing 2022”, Bach said. “The IOC will pay for these additional doses of vaccines for the Olympic and Paralympic teams,” he added. “The IOC will also pay for two doses more that can be made available to people in that country,” Bach said, describing it as a “demonstration of solidarity” in the fight against the Covid-19 pandemic.Tellingly none of the IOC members who took the virtual floor on day two of the 137th IOC Session questioned the moral minefield of athletes jumping the vaccine queue."
